AVG_DOWNHOLE_PRESSURE,AVG_DOWNHOLE_TEMPERATURE,AVG_DP_TUBING,BORE_OIL_VOL
0.0,0.0,0.0,0
0,0,0,0
0,0,0,0
0,0,0,0
310.376,96.876,277.278,0
303.501,96.923,281.447,0
303.535,96.959,276.032,0
303.782,96.969,282.787,0
303.858,97.021,289.941,0
303.792,97.066,299.672,0
304.335,96.919,282.901,0
304.849,96.72,273.701,0
305.371,96.616,259.62,0
313.871,96.56,282.814,0
301.376,102.676,204.795,0
289.421,106.353,182.059,631
230.596,107.764,156.688,970
229.424,107.78,156.429,946
225.768,107.838,155.059,925
225.687,107.821,155.142,914
227.798,107.599,156.852,177
226.061,107.684,155.165,944
225.097,107.836,155.162,823
226.023,107.772,155.797,769
226.905,107.717,156.577,741
225.576,107.741,156.204,713
225.893,107.709,156.826,744
225.701,107.71,157.108,736
223.603,107.778,156.346,783
220.102,107.889,154.695,835
220.49,107.86,155.176,789
220.154,107.859,155.238,783
220.066,107.851,155.375,744
219.983,107.852,155.547,735
219.863,107.867,155.572,743
219.923,107.883,155.753,747
219.977,107.903,155.904,751
219.974,107.921,156.043,727
219.98,107.936,156.243,716
219.267,107.445,155.716,695
220.007,107.962,156.549,699
220.0,107.974,156.665,704
219.994,107.985,156.783,716
220.006,107.994,156.864,724
221.328,107.825,157.538,460
220.24,107.965,157.868,715
221.268,107.961,159.451,707
221.045,107.973,158.758,677
220.75,107.987,157.674,690
220.64,107.994,157.278,694
220.504,108.003,157.185,691
221.451,107.757,159.113,238
220.852,107.991,158.075,647
218.415,108.065,156.685,746
215.497,108.139,155.559,805
214.823,108.135,154.685,819
215.833,108.105,155.598,781
214.877,108.114,154.958,786
215.381,108.088,155.333,757
216.119,108.067,155.978,727
215.984,108.066,156.197,724
215.818,108.066,156.378,715
215.579,108.073,156.488,711
215.304,108.079,156.599,708
214.949,108.085,156.713,703
214.858,108.087,157.394,696
214.897,108.08,157.989,658
214.822,108.084,157.947,576
219.559,107.447,158.581,370
217.252,107.635,162.789,418
215.093,108.078,160.766,589
215.259,108.099,160.197,572
215.351,108.108,160.212,513
215.385,108.114,160.417,563
215.407,108.119,160.599,564
215.332,108.124,160.782,565
215.211,108.129,161.101,564
215.119,108.132,161.484,563
215.067,108.134,161.973,563
215.07,108.136,162.407,522
215.047,108.139,163.023,523
215.136,108.14,163.889,522
215.165,108.143,164.233,490
215.188,108.144,164.696,492
215.464,108.142,165.927,488
215.759,108.134,166.743,482
215.977,108.121,167.412,492
215.051,108.145,166.189,476
214.827,108.15,166.342,466
214.761,108.151,166.585,464
214.923,108.148,167.474,459
215.035,108.147,167.639,458
216.045,108.021,168.827,291
215.112,108.142,170.3,487
215.062,108.176,168.716,469
215.205,108.182,169.048,465
215.378,108.182,169.281,467
215.526,108.183,169.771,464
215.614,108.183,170.112,459
215.844,108.183,170.957,461
216.087,108.183,171.445,458
215.966,108.191,171.367,482
214.626,108.233,169.636,489
215.092,108.22,171.845,376
215.027,108.221,171.356,378
215.155,108.217,172.016,379
215.13,108.217,171.879,377
212.895,108.262,168.859,418
210.167,108.325,166.758,508
209.823,108.321,167.206,470
210.094,108.307,169.043,521
210.184,108.297,169.819,518
210.545,108.283,170.397,493
210.631,108.281,170.858,509
213.448,108.171,176.098,352
215.506,108.138,178.412,287
215.895,108.159,178.003,279
215.855,108.189,177.023,297
215.777,108.204,176.233,297
216.002,108.202,176.635,296
216.016,108.211,176.177,296
216.082,108.215,176.08,293
217.065,108.215,176.476,0
242.944,103.647,242.378,0
234.107,104.129,233.521,0
234.107,104.129,233.521,0
234.107,104.129,233.521,0
234.107,104.129,233.521,0
266.286,101.806,205.786,0
268.533,101.253,188.69,0
271.096,101.206,190.031,0
266.151,98.061,184.237,0
276.538,101.183,195.214,0
279.004,101.128,196.735,0
281.008,101.032,207.12,0
282.916,100.949,232.018,0
284.441,100.737,243.636,0
248.024,106.953,205.834,104
237.287,107.37,208.8,290
223.51,108.49,184.59,428
225.251,108.443,181.588,423
225.938,108.428,181.002,412
224.929,108.435,179.58,411
224.676,108.408,179.137,409
224.654,108.388,179.216,390
225.961,108.339,180.898,380
225.609,108.329,180.727,391
225.3,108.32,180.798,392
225.149,108.315,181.192,384
224.943,108.308,181.296,342
224.805,108.301,181.513,339
224.625,108.298,181.714,345
224.549,108.29,181.972,334
224.559,108.282,182.302,330
221.863,108.331,179.487,358
219.555,108.391,177.669,378
219.888,108.362,178.452,357
219.715,108.354,178.643,354
219.833,108.346,179.376,339
220.009,108.335,179.998,325
219.967,108.331,180.194,325
219.897,108.327,180.229,322
220.042,108.321,180.668,308
243.074,105.065,238.816,0
241.919,105.526,199.357,0
226.032,107.481,217.957,55
211.873,108.502,180.979,199
221.135,108.404,186.136,275
219.88,108.432,183.169,288
219.474,108.438,181.851,323
220.902,108.399,183.041,315
220.653,108.402,182.437,322
220.669,108.396,182.385,320
220.467,108.396,182.139,326
220.178,108.394,181.798,329
220.156,108.388,181.931,325
220.145,108.382,182.067,323
220.325,108.373,182.512,321
220.439,108.367,182.79,320
220.219,108.368,182.553,323
220.012,108.371,182.428,322
220.213,108.363,182.852,321
220.225,108.36,182.91,321
220.223,108.358,183.09,323
220.721,108.347,184.363,327
220.412,108.351,183.592,316
220.624,108.345,183.944,314
220.618,108.344,183.888,314
220.745,108.341,184.094,314
220.862,108.338,184.273,317
220.958,108.336,184.404,333
219.964,108.36,182.967,318
219.961,108.364,183.295,315
220.718,108.345,184.641,304
221.12,108.333,185.252,318
219.495,108.372,182.653,323
219.785,108.362,183.329,317
220.066,108.353,183.84,321
220.343,108.345,184.315,295
220.487,108.341,184.594,291
221.788,108.303,186.691,288
221.686,108.294,186.544,292
220.011,108.358,183.528,293
219.993,108.357,183.717,292
220.479,108.343,184.67,290
222.466,108.289,188.077,283
219.979,108.352,183.488,295
219.184,108.379,182.74,295
220.275,108.35,184.883,291
220.879,108.328,185.65,290
220.069,108.353,184.409,293
221.136,108.32,186.351,293
222.146,108.28,188.302,293
220.412,108.351,184.329,289
221.504,108.309,186.181,282
220.0,108.343,183.561,285
220.101,108.332,184.113,284
219.919,108.327,183.985,283
221.057,108.185,186.408,273
229.95,107.679,201.569,0
244.406,104.076,195.3,0
246.393,102.491,177.736,0
252.373,102.35,245.195,0
264.578,102.348,218.7,0
268.789,102.093,187.634,0
247.358,105.829,208.736,1
255.41,105.648,248.866,120
261.053,102.63,223.608,0
262.684,101.829,212.273,0
264.249,102.946,200.719,0
257.446,107.889,183.661,0
269.998,103.164,262.232,0
275.952,102.406,275.88,0
278.687,102.05,278.528,0
281.008,101.824,280.746,0
283.097,101.656,282.636,0
285.061,101.521,284.542,0
286.896,101.409,286.325,0
288.623,101.31,288.012,0
290.254,101.223,289.529,0
291.848,101.145,291.168,0
293.312,101.073,292.648,0
294.709,101.008,294.021,0
296.067,100.947,295.348,0
297.338,100.89,296.601,0
298.522,100.836,297.803,0
299.668,100.787,298.92,0
300.789,100.74,300.048,0
301.897,100.694,301.158,0
302.909,100.652,302.169,0
303.889,100.611,303.156,0
304.878,100.573,304.142,0
305.813,100.535,305.081,0
306.697,100.498,305.976,0
307.493,100.464,293.583,0
308.202,100.435,175.767,0
309.332,100.401,175.74,0
298.436,105.301,192.409,94
292.15,107.43,191.886,791
279.989,107.896,184.55,917
271.298,107.912,184.71,789
265.07,107.94,183.376,790
258.827,107.946,182.744,784
254.714,107.882,183.962,574
251.043,107.878,182.461,626
247.724,107.561,188.739,356
244.412,107.638,179.178,423
243.65,107.788,183.947,487
239.913,107.881,177.744,597
234.206,107.908,174.696,610
230.074,107.536,188.148,581
230.811,107.82,184.952,461
229.089,107.822,178.166,453
228.883,107.817,178.496,419
228.883,107.817,178.496,442
228.883,107.817,178.496,447
224.075,107.209,173.063,226
226.79,106.085,208.584,8
234.755,103.117,202.911,0
239.532,102.257,193.241,0
243.039,101.578,177.818,0
249.684,101.358,165.8,0
261.648,101.595,168.766,0
265.823,101.495,170.763,0
268.731,101.377,172.067,0
258.506,103.736,226.872,0
260.211,101.82,231.454,0
263.146,100.63,207.142,0
265.351,100.465,193.004,0
267.762,100.43,183.958,0
276.378,100.719,183.552,0
282.14,100.736,217.459,0
285.124,100.7,284.989,0
286.917,100.659,286.776,0
288.278,100.615,288.11,0
289.512,100.573,289.296,0
273.925,107.035,222.662,125
266.945,107.795,205.706,402
259.991,107.911,199.304,474
254.664,107.941,196.072,466
248.494,107.055,192.85,423
247.161,107.928,193.389,421
242.392,106.969,191.192,419
242.438,107.906,192.422,420
240.784,107.897,192.219,410
237.658,107.979,188.092,520
230.46,108.072,180.775,653
226.449,108.035,179.563,638
223.744,108.019,179.723,625
222.108,108.01,180.588,476
221.137,107.998,181.788,410
219.292,108.041,179.897,626
211.716,108.177,170.841,941
208.736,108.164,171.626,738
208.16,108.104,174.593,400
214.945,104.493,159.586,0
220.501,103.265,158.603,0
225.388,102.678,158.707,0
230.093,102.319,160.069,0
225.526,97.88,154.946,0
239.261,101.761,162.051,0
243.178,101.472,164.537,0
247.131,101.206,219.898,0
254.258,100.795,178.609,0
264.922,101.115,177.238,0
269.466,101.092,178.508,0
272.238,101.035,179.278,0
275.019,100.972,180.061,0
277.665,100.909,180.78,0
280.231,100.847,181.448,0
282.771,100.79,182.077,0
284.848,100.734,182.593,0
286.797,100.683,183.057,0
269.115,106.697,231.804,92
260.264,107.953,222.062,216
252.946,108.14,211.758,223
246.419,108.176,203.144,226
241.947,108.157,198.658,385
238.198,108.14,196.347,343
235.289,108.118,194.722,356
232.311,108.131,192.601,448
223.935,108.245,184.038,609
220.575,108.192,182.846,619
217.491,108.185,181.027,565
214.867,108.176,179.833,551
212.165,108.204,177.885,624
208.367,108.215,175.393,623
211.3,107.041,182.844,58
221.507,103.488,179.767,0
226.788,102.746,178.351,0
231.52,102.311,178.231,0
236.028,101.881,176.223,0
237.98,101.669,167.808,0
241.965,101.117,158.189,0
256.405,101.338,162.28,0
263.096,101.291,164.779,0
266.314,101.196,166.055,0
269.169,101.111,167.197,0
272.01,101.033,168.234,0
274.895,100.96,169.272,0
277.401,100.892,170.073,0
280.046,100.831,170.962,0
282.627,100.771,171.795,0
285.053,100.716,172.436,0
287.457,100.667,173.121,0
289.779,100.618,173.716,0
275.587,106.038,238.976,82
262.874,108.015,229.997,173
253.767,108.159,216.692,268
248.853,108.145,209.488,320
246.511,108.107,206.765,319
243.7,108.111,204.348,341
241.288,108.102,202.559,340
236.871,108.197,198.189,397
232.028,108.227,194.033,444
224.943,108.289,187.745,575
219.367,108.284,183.724,608
213.641,108.289,179.567,665
210.479,108.264,178.239,621
209.442,108.233,178.184,212
222.564,103.89,156.411,0
228.487,102.973,158.353,0
233.351,102.4,159.002,0
237.828,101.922,157.317,0
243.559,101.639,154.775,0
255.884,101.667,159.05,0
261.716,101.516,161.414,0
265.168,101.383,162.718,0
268.499,101.268,164.015,0
271.381,101.165,165.139,0
274.266,101.074,166.212,0
276.843,100.991,167.138,0
279.081,100.915,167.892,0
281.35,100.848,168.649,0
283.691,100.787,169.398,0
285.938,100.728,170.126,0
287.891,100.673,170.732,0
289.624,100.623,171.236,0
264.551,107.264,235.451,143
249.195,108.201,220.216,503
235.035,108.32,199.966,537
233.431,108.169,197.156,505
232.597,108.103,197.785,353
232.834,107.774,200.665,294
238.93,105.42,210.24,0
246.977,102.152,187.044,0
250.832,101.504,173.19,0
256.606,101.34,167.865,0
267.1,101.387,170.836,0
272.3,101.241,172.639,0
275.183,101.107,173.654,0
277.793,101.001,174.521,0
280.277,100.906,175.32,0
282.43,100.817,175.978,0
284.312,100.743,176.612,0
286.122,100.676,177.15,0
287.872,100.618,177.613,0
289.517,100.564,178.059,0
272.691,106.904,239.07,83
259.989,107.945,226.55,213
253.845,108.068,217.278,256
251.027,108.025,212.335,235
248.768,108.022,209.878,240
246.559,107.989,208.354,245
245.202,107.96,207.843,221
243.781,107.963,207.09,223
242.223,107.977,206.114,230
240.638,107.984,205.192,219
